employee_id,salary_gross,currency,pay_frequency,bonus,effective_date
10162,3033,GHS,Biweekly,303,2025-12-02
10163,9338,GHS,Biweekly,280,2025-12-02
10164,3092,GHS,Biweekly,463,2025-12-02
,7735,,Monthly,0,2025-12-02
10166,6264,GHS,Monthly,626,2025-12-02
10167,3713,GHS,Monthly,371,2025-12-02
10168,9526,GHS,Biweekly,0,2025-12-02
10169,,GHS,Monthly,231,2025-12-02
10170,7205,GHS,Monthly,,2025-12-02
10171,2046,GHS,Monthly,61,2025-12-02
,2590,GHS,,259,2025-12-02
10173,1319,GHS,Monthly,131,
10174,3593,GHS,,,2025-12-02
10175,2518,GHS,Biweekly,251,2025-12-02
10176,12489,GHS,Monthly,0,2025-12-02
10177,9896,GHS,,989,2025-12-02
10178,7334,GHS,Biweekly,,2025-12-02
10179,1823,GHS,Biweekly,182,
10180,14155,GHS,Monthly,2123,2025-12-02
10181,,GHS,Monthly,82,
10182,2774,GHS,Monthly,416,2025-12-02
10183,6255,GHS,Monthly,625,2025-12-02
10184,2417,GHS,Monthly,362,2025-12-02
10185,2966,GHS,Monthly,444,2025-12-02
10186,8436,GHS,Biweekly,1265,2025-12-02
10187,1749,GHS,Monthly,0,2025-12-02
10188,5109,GHS,Monthly,510,2025-12-02
10189,6788,GHS,Biweekly,678,2025-12-02
10190,4875,GHS,Biweekly,731,2025-12-02
10191,3610,GHS,Monthly,361,2025-12-02
10192,4784,GHS,Monthly,143,2025-12-02
10193,7128,GHS,Biweekly,213,2025-12-02
10194,7267,GHS,Monthly,,2025-12-02
10195,2386,GHS,Biweekly,119,2025-12-02
10196,11605,GHS,Monthly,348,2025-12-02
10197,3880,GHS,Biweekly,388,2025-12-02
10198,13687,GHS,Monthly,0,2025-12-02
,2999,GHS,Biweekly,299,2025-12-02
10200,3689,,Biweekly,0,2025-12-02
10201,12424,GHS,Monthly,0,2025-12-02
10202,10923,GHS,Biweekly,0,2025-12-02
10203,7064,GHS,Monthly,706,2025-12-02
10204,2318,GHS,Monthly,0,2025-12-02
10205,6940,GHS,Biweekly,208,2025-12-02
10206,10388,GHS,Biweekly,1038,2025-12-02
10207,,GHS,Biweekly,410,2025-12-02
10208,9635,GHS,Biweekly,289,2025-12-02
,6630,GHS,Biweekly,994,2025-12-02
10210,13520,GHS,Biweekly,0,2025-12-02
10211,6442,GHS,Biweekly,193,2025-12-02
10212,6648,,Monthly,664,2025-12-02
10213,5250,GHS,,157,
,9919,,Monthly,0,2025-12-02
10215,12542,GHS,Monthly,,2025-12-02
10216,8792,GHS,Biweekly,439,2025-12-02
10217,5042,GHS,Biweekly,0,2025-12-02
10218,2924,GHS,Biweekly,87,
10219,3910,,Monthly,117,2025-12-02
10220,6910,GHS,Biweekly,345,2025-12-02
10221,1351,GHS,Biweekly,202,2025-12-02
10222,7833,GHS,Biweekly,234,2025-12-02
10223,8544,GHS,Biweekly,854,2025-12-02
10224,16563,GHS,Biweekly,1656,2025-12-02
10225,8976,GHS,Biweekly,269,2025-12-02
10226,6044,GHS,Monthly,906,2025-12-02
10227,7675,GHS,Monthly,0,2025-12-02
10228,7363,GHS,Biweekly,368,2025-12-02
10229,8694,GHS,Monthly,1304,2025-12-02
10230,3463,GHS,Biweekly,519,2025-12-02
10231,1479,GHS,Monthly,73,2025-12-02
10232,5120,GHS,Biweekly,256,2025-12-02
10233,1430,GHS,Biweekly,42,2025-12-02
10234,12863,GHS,Biweekly,1286,2025-12-02
10235,14702,GHS,Monthly,0,
10236,7671,GHS,Monthly,767,2025-12-02
10237,5353,GHS,Monthly,,2025-12-02
10238,3888,GHS,Monthly,0,
10239,6268,GHS,Biweekly,626,2025-12-02
10240,6801,GHS,Biweekly,204,2025-12-02
10241,1299,GHS,Monthly,38,2025-12-02
10242,2676,GHS,Biweekly,80,2025-12-02
10243,3153,GHS,Monthly,0,2025-12-02
10244,3442,GHS,Monthly,516,2025-12-02
10245,2943,GHS,Biweekly,294,2025-12-02
10246,7274,GHS,Monthly,0,2025-12-02
10247,10067,GHS,Monthly,1006,2025-12-02
10248,9962,GHS,Biweekly,1494,2025-12-02
10249,7240,GHS,Monthly,724,2025-12-02
10250,11912,,Monthly,357,2025-12-02
10251,9741,GHS,Biweekly,292,
10252,1371,,Biweekly,41,2025-12-02
10253,6368,GHS,Biweekly,955,2025-12-02
10254,9579,GHS,Monthly,478,2025-12-02
10255,1778,GHS,Biweekly,177,2025-12-02
10256,3232,,Biweekly,161,2025-12-02
10257,9398,GHS,Biweekly,,2025-12-02
10258,11608,GHS,Monthly,1160,2025-12-02
10259,15516,GHS,,465,2025-12-02
10260,,GHS,Monthly,334,2025-12-02
10261,6067,GHS,,606,2025-12-02
10262,5496,GHS,Biweekly,274,2025-12-02
10263,3283,GHS,Biweekly,492,2025-12-02
10264,8522,GHS,Biweekly,0,2025-12-02
10265,7286,GHS,Biweekly,0,2025-12-02
10266,11017,GHS,Biweekly,0,2025-12-02
10267,18715,GHS,,0,2025-12-02
,5737,,Biweekly,0,2025-12-02
10269,5921,GHS,Monthly,592,2025-12-02
10270,3132,GHS,Biweekly,156,2025-12-02
10271,3734,GHS,Biweekly,373,2025-12-02
10272,9331,GHS,Monthly,0,2025-12-02
10273,8151,GHS,Monthly,244,
10274,12249,GHS,Biweekly,1224,2025-12-02
10275,8734,GHS,Biweekly,873,2025-12-02
10276,7615,GHS,Biweekly,380,2025-12-02
10277,14113,,Biweekly,0,2025-12-02
10278,10494,GHS,Biweekly,314,2025-12-02
,3700,GHS,Monthly,370,2025-12-02
10280,9024,GHS,Monthly,270,2025-12-02
10281,3680,GHS,Monthly,552,2025-12-02
10282,17854,GHS,Biweekly,892,2025-12-02
10283,5863,GHS,,586,2025-12-02
10284,12713,GHS,,0,2025-12-02
10285,8334,GHS,Biweekly,833,2025-12-02
10286,13982,GHS,Monthly,2097,2025-12-02
10287,6979,GHS,Biweekly,0,2025-12-02
10288,1480,GHS,Biweekly,44,2025-12-02
10289,4356,GHS,Biweekly,217,2025-12-02
10290,10608,GHS,Monthly,530,2025-12-02
,9009,GHS,Monthly,900,2025-12-02
10292,5985,GHS,Biweekly,179,2025-12-02
10293,1528,GHS,Monthly,45,2025-12-02
10294,14325,GHS,Monthly,2148,2025-12-02
10295,14603,GHS,Biweekly,,2025-12-02
,4286,GHS,Monthly,128,2025-12-02
10297,,GHS,Monthly,0,2025-12-02
10298,8382,GHS,Biweekly,,2025-12-02
10299,8960,GHS,Monthly,1344,2025-12-02
10300,970,GHS,Monthly,97,2025-12-02
10301,7878,GHS,Biweekly,787,2025-12-02
10302,6648,GHS,Monthly,664,2025-12-02
10303,4056,GHS,,0,
10304,2654,GHS,Biweekly,265,2025-12-02
10305,5028,GHS,Monthly,754,
10306,12993,GHS,Biweekly,0,2025-12-02
10307,3538,,Biweekly,0,
10308,3475,,Biweekly,,2025-12-02
10309,7964,GHS,Biweekly,796,2025-12-02
10310,,GHS,Biweekly,,
10311,9201,GHS,Monthly,276,2025-12-02
10312,,GHS,,123,2025-12-02
10313,5297,GHS,Biweekly,158,2025-12-02
10314,3147,GHS,Biweekly,472,2025-12-02
10315,7178,GHS,Biweekly,358,2025-12-02
10316,,GHS,Monthly,1309,2025-12-02
10317,2775,GHS,Biweekly,0,2025-12-02
10318,11584,GHS,Monthly,579,2025-12-02
10319,7060,GHS,Biweekly,1059,2025-12-02
10320,16883,GHS,Monthly,844,2025-12-02
10321,6813,GHS,Monthly,,2025-12-02
10322,2714,GHS,Biweekly,407,2025-12-02
10323,2753,GHS,Biweekly,412,2025-12-02
10324,8785,GHS,Biweekly,263,2025-12-02
10325,5528,,Biweekly,552,2025-12-02
10326,6625,GHS,Biweekly,993,2025-12-02
10327,2992,GHS,Biweekly,448,2025-12-02
10328,13890,GHS,Biweekly,0,2025-12-02
10329,8392,GHS,Monthly,,2025-12-02
10330,8499,GHS,Biweekly,0,2025-12-02
10331,6220,GHS,Monthly,933,2025-12-02
10332,5145,GHS,Monthly,771,2025-12-02
10333,3953,GHS,Monthly,592,2025-12-02
10334,3606,GHS,Biweekly,180,2025-12-02
10335,6998,GHS,Monthly,349,2025-12-02
10336,7603,GHS,Biweekly,0,2025-12-02
10337,2529,GHS,Biweekly,,2025-12-02
10338,5172,GHS,Monthly,258,2025-12-02
10339,11274,GHS,Biweekly,1691,2025-12-02
10340,1871,GHS,Biweekly,0,2025-12-02
10341,4908,GHS,Monthly,490,2025-12-02
10342,10631,GHS,Biweekly,1063,2025-12-02
10343,2075,GHS,Biweekly,207,2025-12-02
10344,3692,GHS,Monthly,553,2025-12-02
10345,11152,,Biweekly,0,2025-12-02
10346,8203,GHS,Monthly,0,2025-12-02
10347,4967,GHS,Monthly,745,2025-12-02
10348,10412,GHS,Monthly,0,2025-12-02
10349,4448,GHS,Monthly,444,2025-12-02
10350,1627,GHS,Biweekly,244,2025-12-02
10351,10180,GHS,Biweekly,1018,2025-12-02
10352,4288,GHS,Biweekly,0,2025-12-02
10353,6089,GHS,Monthly,0,2025-12-02
10354,4107,GHS,Monthly,616,2025-12-02
10355,12433,GHS,Monthly,1864,2025-12-02
10356,5824,GHS,Biweekly,582,2025-12-02
10357,5949,GHS,Biweekly,297,2025-12-02
10358,4808,GHS,Biweekly,0,2025-12-02
,3810,GHS,,0,2025-12-02
10360,2855,GHS,Biweekly,,2025-12-02
10361,6261,,Biweekly,939,2025-12-02
10362,,GHS,Monthly,158,2025-12-02
10363,6168,GHS,Biweekly,925,2025-12-02
10364,2254,GHS,Monthly,338,2025-12-02
10365,4717,GHS,Monthly,0,2025-12-02
10366,2193,GHS,Monthly,,2025-12-02
10367,9721,GHS,Biweekly,1458,2025-12-02
10368,11172,GHS,Biweekly,,2025-12-02
10369,8473,GHS,Biweekly,847,2025-12-02
10370,1946,GHS,Biweekly,291,2025-12-02
10371,9150,GHS,Biweekly,0,2025-12-02
10372,6148,GHS,Biweekly,614,2025-12-02
10373,8801,GHS,Biweekly,264,2025-12-02
10374,3484,GHS,Monthly,174,2025-12-02
10375,4864,GHS,Biweekly,0,2025-12-02
10376,3420,GHS,Monthly,,2025-12-02
10377,19062,GHS,Monthly,2859,2025-12-02
10378,12881,GHS,,0,2025-12-02
10379,15548,GHS,Monthly,2332,2025-12-02
10380,6472,,Monthly,,2025-12-02
10381,9967,GHS,Monthly,0,2025-12-02
10382,9978,GHS,Monthly,1496,2025-12-02
10383,17984,GHS,Biweekly,0,2025-12-02
10384,4825,GHS,Biweekly,482,2025-12-02
10385,6243,GHS,Biweekly,312,2025-12-02
10386,8624,GHS,Biweekly,1293,2025-12-02
10387,7088,GHS,Monthly,1063,2025-12-02
10388,1531,GHS,,0,2025-12-02
10389,2710,GHS,Monthly,,2025-12-02
10390,5742,GHS,Biweekly,172,2025-12-02
10391,,GHS,Monthly,369,2025-12-02
10392,7217,GHS,Biweekly,721,2025-12-02
10393,8336,GHS,Monthly,416,2025-12-02
10394,6335,GHS,Biweekly,633,2025-12-02
10395,18283,GHS,Monthly,0,2025-12-02
10396,13496,GHS,Monthly,1349,
10397,4188,GHS,Monthly,125,2025-12-02
10398,6272,GHS,Biweekly,627,2025-12-02
10399,17492,GHS,Monthly,524,2025-12-02
10400,3616,GHS,Biweekly,542,2025-12-02
10401,5752,GHS,Biweekly,287,2025-12-02
10402,5973,GHS,Monthly,597,2025-12-02
10403,6026,GHS,Biweekly,180,2025-12-02
10404,2294,GHS,Biweekly,229,2025-12-02
10405,1613,GHS,Monthly,,2025-12-02
10406,1719,GHS,Biweekly,257,2025-12-02
10407,1227,GHS,Monthly,122,2025-12-02
10408,,,Biweekly,188,2025-12-02
10409,1840,GHS,Biweekly,55,2025-12-02
10410,15516,GHS,Biweekly,1551,2025-12-02
10411,3190,GHS,Biweekly,159,2025-12-02
10412,1234,GHS,,37,2025-12-02
10413,2723,GHS,Biweekly,408,2025-12-02
10414,16497,GHS,Biweekly,1649,2025-12-02
10415,11054,GHS,Biweekly,331,2025-12-02
10416,2425,GHS,Monthly,121,2025-12-02
10417,1636,,Monthly,245,2025-12-02
10418,16335,GHS,Monthly,2450,2025-12-02
10419,3555,GHS,Biweekly,106,
10420,4032,,Biweekly,201,2025-12-02
10421,2433,GHS,Biweekly,121,2025-12-02
10422,8354,GHS,Biweekly,1253,2025-12-02
10423,13559,GHS,Biweekly,0,2025-12-02
10424,13113,GHS,Monthly,1966,2025-12-02
10425,3085,GHS,Biweekly,462,2025-12-02
10426,15591,,Biweekly,1559,2025-12-02
10427,3305,GHS,Biweekly,99,2025-12-02
10428,1563,GHS,Biweekly,156,2025-12-02
10429,11305,GHS,Biweekly,0,2025-12-02
10430,1322,GHS,Monthly,66,2025-12-02
10431,11637,GHS,,581,2025-12-02
10432,4234,GHS,Biweekly,211,2025-12-02
10433,7073,GHS,Monthly,353,2025-12-02
10434,1891,GHS,Biweekly,0,2025-12-02
10435,1456,GHS,Monthly,145,2025-12-02
10436,8454,GHS,Biweekly,1268,2025-12-02
10437,13304,GHS,Biweekly,1995,2025-12-02
10438,,GHS,Monthly,831,2025-12-02
10439,3266,GHS,Monthly,97,2025-12-02
10440,3596,GHS,Biweekly,0,2025-12-02
10441,7152,GHS,Biweekly,357,2025-12-02
10442,7254,GHS,Biweekly,217,2025-12-02
10443,2268,GHS,Monthly,68,2025-12-02
10444,9499,GHS,Biweekly,474,2025-12-02
10445,,GHS,Monthly,0,2025-12-02
10446,14257,GHS,Monthly,427,2025-12-02
10447,8608,GHS,Biweekly,1291,2025-12-02
10448,1169,GHS,Biweekly,116,2025-12-02
10449,5732,GHS,Biweekly,0,
10450,12171,GHS,Monthly,365,2025-12-02
10451,2808,GHS,Biweekly,84,2025-12-02
10452,3216,GHS,Monthly,96,2025-12-02
10453,18732,GHS,Monthly,1873,2025-12-02
10454,1207,GHS,Biweekly,60,2025-12-02
10455,2317,GHS,Biweekly,115,2025-12-02
10456,5134,GHS,Biweekly,770,2025-12-02
10457,9555,GHS,Biweekly,955,2025-12-02
10458,8240,GHS,Biweekly,412,2025-12-02
10459,7700,GHS,,,2025-12-02
10460,10150,GHS,Biweekly,304,2025-12-02
10461,3400,GHS,Monthly,0,2025-12-02
10462,5934,GHS,Monthly,296,2025-12-02
10463,14270,GHS,Biweekly,2140,2025-12-02
10464,7430,GHS,,1114,2025-12-02
10465,5677,GHS,Monthly,170,2025-12-02
10466,14560,GHS,Biweekly,2184,2025-12-02
,6749,GHS,,202,
10468,9571,GHS,Monthly,957,2025-12-02
10469,1347,GHS,Biweekly,0,
10470,5309,GHS,Biweekly,796,2025-12-02
10471,2852,,Biweekly,0,2025-12-02
10472,3994,GHS,Biweekly,199,2025-12-02
10473,8176,GHS,Biweekly,408,2025-12-02
10474,7729,GHS,Monthly,0,2025-12-02
10475,3651,GHS,Monthly,365,2025-12-02
10476,6563,GHS,Biweekly,984,2025-12-02
10477,,GHS,,1780,2025-12-02
10478,5626,GHS,Monthly,0,2025-12-02
10479,11908,GHS,Monthly,357,2025-12-02
10480,7964,GHS,Monthly,398,2025-12-02
10481,7796,GHS,Biweekly,389,2025-12-02
10482,14322,GHS,Monthly,2148,2025-12-02
10483,4048,GHS,Monthly,202,2025-12-02
10484,14814,GHS,Biweekly,,2025-12-02
10485,6603,GHS,Biweekly,990,2025-12-02
10486,6053,GHS,Monthly,605,2025-12-02
,3798,GHS,Monthly,0,2025-12-02
10488,3529,GHS,Biweekly,176,2025-12-02
10489,5667,GHS,Monthly,566,2025-12-02
10490,14931,GHS,,0,2025-12-02
10491,1808,GHS,Monthly,271,2025-12-02
10492,4468,GHS,Monthly,0,2025-12-02
10493,2358,GHS,Biweekly,70,2025-12-02
10494,6820,GHS,Monthly,204,2025-12-02
10495,5416,GHS,Biweekly,812,2025-12-02
10496,2878,GHS,Monthly,287,2025-12-02
10497,3849,GHS,Biweekly,384,2025-12-02
10498,,GHS,Monthly,464,2025-12-02
10499,1563,GHS,Monthly,,2025-12-02
10500,4725,GHS,Biweekly,141,2025-12-02
10501,5141,GHS,Biweekly,514,2025-12-02
,3226,GHS,Monthly,0,2025-12-02
10503,2993,GHS,Monthly,89,2025-12-02
10504,1173,GHS,Biweekly,0,
10505,1803,GHS,Monthly,270,2025-12-02
10506,2863,GHS,Biweekly,0,2025-12-02
10507,7630,GHS,Monthly,1144,2025-12-02
10508,1668,GHS,Biweekly,,2025-12-02
10509,1945,GHS,Biweekly,194,2025-12-02
10510,12922,GHS,Monthly,646,2025-12-02
10511,7692,GHS,Biweekly,1153,2025-12-02
10512,3516,GHS,Monthly,175,2025-12-02
10513,,GHS,Monthly,338,2025-12-02
10514,6342,GHS,Monthly,634,2025-12-02
10515,8152,GHS,Biweekly,244,2025-12-02
10516,6606,GHS,Biweekly,330,2025-12-02
10517,,GHS,Monthly,,2025-12-02
10518,4246,GHS,Biweekly,0,2025-12-02
10519,1657,,Biweekly,165,2025-12-02
10520,1778,GHS,Biweekly,177,2025-12-02
10521,11736,GHS,Monthly,1760,2025-12-02
10522,2548,GHS,Monthly,127,2025-12-02
10523,9087,GHS,Monthly,0,2025-12-02
10524,2720,GHS,Monthly,272,2025-12-02
10525,8541,GHS,Biweekly,0,2025-12-02
10526,7771,GHS,Monthly,1165,2025-12-02
10527,2005,GHS,Biweekly,0,2025-12-02
10528,2267,GHS,Biweekly,113,2025-12-02
10529,2948,GHS,Biweekly,294,2025-12-02
10530,5937,GHS,Biweekly,890,2025-12-02
10531,9156,GHS,Biweekly,,2025-12-02
10532,,GHS,Monthly,0,2025-12-02
10533,3356,GHS,Biweekly,335,2025-12-02
10534,4895,GHS,Biweekly,734,2025-12-02
10535,17268,GHS,Monthly,1726,2025-12-02
10536,1188,GHS,Monthly,178,2025-12-02
10537,5953,GHS,Biweekly,892,2025-12-02
10538,8676,GHS,Biweekly,867,2025-12-02
10539,3726,GHS,Monthly,111,2025-12-02
10540,1152,GHS,Biweekly,57,2025-12-02
10541,2104,GHS,Biweekly,63,2025-12-02
10542,3943,GHS,Biweekly,0,2025-12-02
10543,14970,GHS,,2245,2025-12-02
10544,1695,GHS,Monthly,169,2025-12-02
10545,,GHS,Monthly,,
10546,12345,GHS,Biweekly,1234,2025-12-02
,4233,GHS,Biweekly,211,2025-12-02
10548,,GHS,Biweekly,352,2025-12-02
10549,5408,GHS,Biweekly,0,2025-12-02
10550,3957,GHS,Monthly,593,2025-12-02
10551,6025,GHS,Monthly,0,2025-12-02
10552,7774,GHS,Monthly,233,2025-12-02
10553,1624,,Biweekly,48,2025-12-02
10554,8243,GHS,Monthly,247,2025-12-02
,5783,GHS,Biweekly,173,2025-12-02
10556,10150,GHS,Monthly,304,2025-12-02
10557,7033,GHS,Biweekly,0,2025-12-02
,7884,GHS,Biweekly,0,2025-12-02
10559,13042,GHS,Monthly,0,2025-12-02
10560,9379,GHS,Monthly,468,2025-12-02
10561,4589,GHS,Monthly,229,2025-12-02
10562,7987,GHS,Biweekly,798,2025-12-02
10563,5557,GHS,Monthly,555,2025-12-02
10564,2006,GHS,Monthly,0,2025-12-02
10565,,GHS,Biweekly,0,2025-12-02
10566,9560,GHS,Monthly,0,2025-12-02
10567,10600,GHS,Monthly,1590,2025-12-02
10568,7548,GHS,Biweekly,754,2025-12-02
10569,4652,GHS,Monthly,232,2025-12-02
10570,2289,GHS,Monthly,114,2025-12-02
10571,6892,GHS,,689,2025-12-02
10572,7518,GHS,Monthly,0,2025-12-02
10573,7363,GHS,Monthly,736,2025-12-02
10574,6600,GHS,Biweekly,990,2025-12-02
10575,7794,GHS,Biweekly,779,2025-12-02
10576,,GHS,Monthly,354,2025-12-02
,5411,GHS,Monthly,541,
10578,7785,,Biweekly,1167,2025-12-02
,7391,GHS,Biweekly,1108,2025-12-02
10580,2770,GHS,Biweekly,277,2025-12-02
10581,2936,GHS,Monthly,146,2025-12-02
10582,6940,GHS,Biweekly,694,2025-12-02
10583,12177,GHS,Biweekly,1826,2025-12-02
,12097,GHS,Monthly,1209,2025-12-02
10585,2576,GHS,Biweekly,0,2025-12-02
10586,8706,GHS,Monthly,870,2025-12-02
