review_id,employee_id,review_date,reviewer_id,rating,goals_met,promotion_recommended,comments
20049,10049,2024-06-15,,3,FALSE,FALSE,Meets expectations; room for growth.
20050,10050,2024-06-26,10127,5,TRUE,FALSE,Outstanding contributor; top performer.
20051,10051,2025-07-12,11962,3,TRUE,FALSE,
20052,10052,2025-03-15,11514,3,TRUE,FALSE,Meets expectations; room for growth.
,10053,2025-07-10,13148,3,FALSE,FALSE,Meets expectations; room for growth.
20054,,2024-08-17,11514,3,TRUE,FALSE,Meets expectations; room for growth.
20055,10055,2024-04-27,11292,4,TRUE,FALSE,Strong performance; exceeds expectations.
20056,10056,2025-06-29,10365,5,TRUE,FALSE,Outstanding contributor; top performer.
20057,10057,2025-11-25,11382,2,FALSE,FALSE,Needs improvement in key areas.
20058,,2024-04-13,12565,5,,,Outstanding contributor; top performer.
20059,10059,2023-12-16,11547,3,TRUE,FALSE,Meets expectations; room for growth.
20060,10060,2024-03-03,10726,3,TRUE,FALSE,Meets expectations; room for growth.
20061,10061,2023-12-18,13245,3,FALSE,FALSE,Meets expectations; room for growth.
20062,10062,2024-06-11,11612,,FALSE,FALSE,Meets expectations; room for growth.
20063,10063,2024-09-10,12309,3,TRUE,FALSE,Meets expectations; room for growth.
20064,10064,2024-11-26,10137,4,FALSE,FALSE,Strong performance; exceeds expectations.
20065,10065,2024-06-25,11046,4,FALSE,FALSE,Strong performance; exceeds expectations.
20066,10066,2024-02-01,13387,5,TRUE,FALSE,Outstanding contributor; top performer.
20067,10067,2024-11-23,11952,4,TRUE,TRUE,Strong performance; exceeds expectations.
20068,10068,2025-06-23,12441,5,FALSE,FALSE,Outstanding contributor; top performer.
20069,10069,2024-11-04,11790,5,FALSE,FALSE,Outstanding contributor; top performer.
20070,10070,2024-09-20,12441,3,TRUE,FALSE,Meets expectations; room for growth.
20071,10071,2024-08-21,12182,3,TRUE,FALSE,Meets expectations; room for growth.
20072,10072,2025-08-10,,4,FALSE,FALSE,Strong performance; exceeds expectations.
20073,10073,2024-07-14,10352,3,TRUE,FALSE,Meets expectations; room for growth.
20074,10074,2024-01-30,12571,,TRUE,FALSE,Strong performance; exceeds expectations.
20075,10075,2024-05-01,10959,4,TRUE,FALSE,Strong performance; exceeds expectations.
20076,10076,2024-02-25,12672,3,TRUE,FALSE,Meets expectations; room for growth.
20077,,2024-10-09,11033,,TRUE,FALSE,Meets expectations; room for growth.
20078,10078,2024-12-20,12976,4,TRUE,FALSE,Strong performance; exceeds expectations.
20079,10079,2025-11-04,10099,2,FALSE,FALSE,Needs improvement in key areas.
20080,10080,2025-04-03,10958,5,TRUE,FALSE,Outstanding contributor; top performer.
20081,10081,2024-02-28,11664,4,TRUE,FALSE,Strong performance; exceeds expectations.
20082,10082,2024-06-22,10330,2,TRUE,FALSE,Needs improvement in key areas.
20083,10083,2024-01-14,10394,4,,FALSE,Strong performance; exceeds expectations.
20084,10084,2025-05-21,10383,4,FALSE,FALSE,Strong performance; exceeds expectations.
20085,10085,2025-07-07,,3,TRUE,,Meets expectations; room for growth.
20086,10086,2024-01-21,13021,4,,FALSE,Strong performance; exceeds expectations.
20087,,2025-07-29,10404,3,TRUE,FALSE,Meets expectations; room for growth.
20088,10088,2025-03-31,13021,1,TRUE,FALSE,Needs improvement in key areas.
20089,10089,2024-05-03,11072,4,FALSE,TRUE,Strong performance; exceeds expectations.
20090,10090,2025-11-25,,1,TRUE,FALSE,Needs improvement in key areas.
20091,,2024-09-28,10989,4,TRUE,,Strong performance; exceeds expectations.
20092,10092,2024-01-30,10090,4,TRUE,FALSE,Strong performance; exceeds expectations.
20093,,2025-01-25,12137,3,TRUE,,Meets expectations; room for growth.
20094,10094,2024-12-27,11791,3,FALSE,FALSE,Meets expectations; room for growth.
20095,10095,2024-12-07,10547,3,TRUE,FALSE,Meets expectations; room for growth.
20096,,2024-01-14,10855,4,FALSE,FALSE,Strong performance; exceeds expectations.
20097,10097,2025-01-04,12010,2,TRUE,FALSE,Needs improvement in key areas.
20098,10098,2024-08-17,13028,3,,FALSE,Meets expectations; room for growth.
20099,10099,2025-02-28,10517,4,TRUE,FALSE,Strong performance; exceeds expectations.
20100,10100,2024-04-02,12408,5,FALSE,FALSE,Outstanding contributor; top performer.
20101,,2025-05-19,11121,4,FALSE,FALSE,Strong performance; exceeds expectations.
20102,10102,2024-05-28,11339,3,TRUE,FALSE,Meets expectations; room for growth.
20103,10103,2024-04-11,12742,3,FALSE,FALSE,Meets expectations; room for growth.
20104,10104,2024-10-06,13261,3,FALSE,FALSE,Meets expectations; room for growth.
20105,10105,2024-09-03,10255,3,TRUE,FALSE,Meets expectations; room for growth.
20106,10106,2025-09-25,10947,4,TRUE,FALSE,Strong performance; exceeds expectations.
20107,,2024-03-30,13261,3,,FALSE,Meets expectations; room for growth.
20108,10108,2024-04-27,12472,5,FALSE,FALSE,
20109,10109,2023-12-28,12623,4,TRUE,TRUE,Strong performance; exceeds expectations.
20110,10110,2024-05-28,12001,5,TRUE,FALSE,Outstanding contributor; top performer.
20111,10111,,10535,4,TRUE,FALSE,Strong performance; exceeds expectations.
20112,10112,2025-03-13,13215,4,TRUE,FALSE,Strong performance; exceeds expectations.
20113,10113,2024-08-06,11033,3,TRUE,FALSE,Meets expectations; room for growth.
20114,10114,2024-06-04,12595,2,FALSE,FALSE,Needs improvement in key areas.
20115,10115,2024-12-21,12205,4,TRUE,FALSE,Strong performance; exceeds expectations.
20116,10116,2024-06-03,10582,3,TRUE,FALSE,Meets expectations; room for growth.
20117,10117,2024-06-01,12010,4,TRUE,FALSE,Strong performance; exceeds expectations.
20118,10118,2024-06-22,11292,,FALSE,FALSE,Meets expectations; room for growth.
20119,,2025-11-07,10900,4,TRUE,FALSE,Strong performance; exceeds expectations.
20120,10120,2024-04-21,10269,3,TRUE,FALSE,Meets expectations; room for growth.
20121,10121,2024-09-10,13128,4,FALSE,FALSE,Strong performance; exceeds expectations.
20122,10122,2025-06-13,11675,2,TRUE,FALSE,Needs improvement in key areas.
20123,,,11745,3,FALSE,FALSE,Meets expectations; room for growth.
,10124,2025-01-19,11791,4,TRUE,FALSE,Strong performance; exceeds expectations.
20125,10125,2024-05-23,12125,4,TRUE,FALSE,Strong performance; exceeds expectations.
20126,10126,2025-01-18,11660,,TRUE,FALSE,Outstanding contributor; top performer.
20127,10127,2024-06-05,11308,3,TRUE,FALSE,
20128,10128,2024-12-01,10394,4,FALSE,FALSE,Strong performance; exceeds expectations.
20129,10129,2024-10-08,12713,3,TRUE,FALSE,Meets expectations; room for growth.
20130,,2025-04-14,12658,,TRUE,,Strong performance; exceeds expectations.
20131,10131,2025-03-30,11590,4,TRUE,FALSE,Strong performance; exceeds expectations.
20132,10132,2024-01-31,10008,3,TRUE,FALSE,Meets expectations; room for growth.
20133,10133,2025-03-23,13028,4,FALSE,FALSE,Strong performance; exceeds expectations.
20134,10134,2025-10-20,12153,2,FALSE,FALSE,Needs improvement in key areas.
20135,10135,2025-02-02,11892,4,FALSE,FALSE,Strong performance; exceeds expectations.
20136,10136,2024-07-22,10564,3,TRUE,FALSE,Meets expectations; room for growth.
20137,10137,2025-05-24,11508,4,TRUE,FALSE,Strong performance; exceeds expectations.
20138,10138,,10103,4,TRUE,TRUE,Strong performance; exceeds expectations.
20139,10139,2024-04-27,13233,5,TRUE,FALSE,Outstanding contributor; top performer.
20140,10140,2024-07-08,11497,4,FALSE,FALSE,
20141,10141,2024-10-22,,5,TRUE,TRUE,
20142,10142,2024-04-23,10995,1,TRUE,FALSE,Needs improvement in key areas.
20143,10143,2025-10-23,10322,2,TRUE,FALSE,Needs improvement in key areas.
20144,10144,2024-10-15,10352,4,FALSE,FALSE,Strong performance; exceeds expectations.
,10145,2024-10-21,10614,4,TRUE,TRUE,Strong performance; exceeds expectations.
20146,10146,2024-03-02,11952,5,TRUE,TRUE,Outstanding contributor; top performer.
20147,10147,2024-08-25,10400,1,FALSE,FALSE,Needs improvement in key areas.
20148,10148,2023-12-14,12309,5,TRUE,TRUE,Outstanding contributor; top performer.
20149,10149,2025-03-15,12137,4,TRUE,TRUE,Strong performance; exceeds expectations.
20150,10150,2024-11-06,10383,3,TRUE,FALSE,Meets expectations; room for growth.
20151,10151,2024-11-14,10231,2,FALSE,FALSE,Needs improvement in key areas.
20152,,2024-07-12,10954,5,TRUE,FALSE,Outstanding contributor; top performer.
20153,10153,2025-05-25,11944,5,TRUE,TRUE,
20154,10154,2024-04-30,10256,3,TRUE,FALSE,Meets expectations; room for growth.
20155,10155,2025-04-29,10582,5,TRUE,TRUE,Outstanding contributor; top performer.
20156,10156,2025-11-03,11121,3,TRUE,FALSE,Meets expectations; room for growth.
20157,10157,2024-07-31,11743,3,FALSE,FALSE,Meets expectations; room for growth.
,10158,2025-11-03,12153,4,FALSE,,Strong performance; exceeds expectations.
20159,10159,2024-01-15,12565,3,FALSE,FALSE,Meets expectations; room for growth.
20160,10160,2025-02-20,12094,3,TRUE,FALSE,Meets expectations; room for growth.
20161,10161,2025-07-11,13229,4,TRUE,FALSE,Strong performance; exceeds expectations.
20162,10162,2024-11-23,10703,5,TRUE,FALSE,Outstanding contributor; top performer.
20163,,2024-11-13,11409,5,TRUE,FALSE,Outstanding contributor; top performer.
20164,10164,2025-05-26,12094,3,TRUE,FALSE,Meets expectations; room for growth.
20165,10165,2025-02-05,10127,5,TRUE,FALSE,Outstanding contributor; top performer.
20166,10166,2024-05-06,13268,4,TRUE,FALSE,Strong performance; exceeds expectations.
20167,10167,2024-07-22,10564,4,TRUE,FALSE,Strong performance; exceeds expectations.
20168,10168,2025-02-13,11892,4,TRUE,FALSE,Strong performance; exceeds expectations.
20169,10169,2024-09-09,10292,3,TRUE,,Meets expectations; room for growth.
20170,10170,2025-01-30,11736,3,TRUE,FALSE,Meets expectations; room for growth.
20171,10171,2024-04-16,,4,,TRUE,Strong performance; exceeds expectations.
20172,10172,,12408,,TRUE,FALSE,Strong performance; exceeds expectations.
20173,10173,2024-03-11,12551,4,TRUE,FALSE,Strong performance; exceeds expectations.
20174,10174,2024-12-13,10162,2,TRUE,,Needs improvement in key areas.
20175,10175,2024-07-18,11638,4,FALSE,FALSE,Strong performance; exceeds expectations.
20176,10176,2024-05-18,12153,3,TRUE,FALSE,Meets expectations; room for growth.
20177,10177,2025-03-31,10007,4,TRUE,FALSE,Strong performance; exceeds expectations.
20178,10178,2024-05-08,12495,3,FALSE,FALSE,Meets expectations; room for growth.
20179,10179,2024-09-07,13001,4,TRUE,FALSE,Strong performance; exceeds expectations.
20180,10180,2024-04-13,10137,4,TRUE,FALSE,Strong performance; exceeds expectations.
20181,10181,2025-11-14,,5,TRUE,FALSE,Outstanding contributor; top performer.
20182,10182,2025-06-02,11499,3,TRUE,FALSE,Meets expectations; room for growth.
20183,10183,2024-09-30,11121,5,FALSE,FALSE,Outstanding contributor; top performer.
20184,10184,2024-07-03,13046,4,FALSE,FALSE,Strong performance; exceeds expectations.
20185,10185,2025-02-16,11340,3,FALSE,FALSE,
,10186,,10582,3,TRUE,FALSE,Meets expectations; room for growth.
20187,10187,2024-01-22,10204,4,FALSE,FALSE,Strong performance; exceeds expectations.
20188,10188,2025-02-02,11292,4,TRUE,TRUE,Strong performance; exceeds expectations.
20189,,2025-05-02,13103,2,TRUE,FALSE,Needs improvement in key areas.
20190,10190,2025-08-30,13434,3,TRUE,FALSE,Meets expectations; room for growth.
20191,10191,2025-01-11,12760,3,FALSE,FALSE,Meets expectations; room for growth.
20192,10192,2025-09-06,11745,,TRUE,FALSE,Meets expectations; room for growth.
20193,10193,2025-09-20,12125,3,TRUE,FALSE,Meets expectations; room for growth.
20194,10194,2024-06-17,12887,3,TRUE,FALSE,Meets expectations; room for growth.
20195,10195,2024-02-14,11269,4,FALSE,FALSE,Strong performance; exceeds expectations.
20196,10196,,10495,4,TRUE,FALSE,Strong performance; exceeds expectations.
20197,10197,,10785,4,,FALSE,Strong performance; exceeds expectations.
20198,10198,2025-08-20,10720,4,TRUE,FALSE,Strong performance; exceeds expectations.
20199,10199,2024-05-01,10352,4,TRUE,FALSE,Strong performance; exceeds expectations.
20200,10200,2023-12-29,10750,2,TRUE,FALSE,Needs improvement in key areas.
20201,10201,2025-06-17,10645,4,TRUE,FALSE,Strong performance; exceeds expectations.
20202,10202,2025-03-08,11736,4,,FALSE,Strong performance; exceeds expectations.
20203,10203,2025-06-28,10582,3,TRUE,FALSE,Meets expectations; room for growth.
20204,10204,2024-03-27,10703,5,TRUE,FALSE,Outstanding contributor; top performer.
20205,10205,2025-05-16,10292,4,FALSE,TRUE,Strong performance; exceeds expectations.
20206,10206,2025-07-13,11145,4,TRUE,FALSE,Strong performance; exceeds expectations.
20207,10207,2024-08-15,10332,3,FALSE,FALSE,Meets expectations; room for growth.
20208,10208,2024-02-03,11675,2,TRUE,,Needs improvement in key areas.
20209,10209,2025-07-09,10791,2,TRUE,FALSE,Needs improvement in key areas.
20210,10210,2024-06-19,10231,3,TRUE,FALSE,Meets expectations; room for growth.
20211,,2024-06-04,12887,4,TRUE,FALSE,Strong performance; exceeds expectations.
20212,10212,2024-12-27,11046,3,TRUE,FALSE,Meets expectations; room for growth.
20213,10213,2025-03-25,13454,4,TRUE,FALSE,Strong performance; exceeds expectations.
20214,10214,2025-06-01,11549,3,TRUE,FALSE,Meets expectations; room for growth.
20215,10215,2025-05-24,11736,4,TRUE,FALSE,Strong performance; exceeds expectations.
20216,10216,2024-05-19,11222,5,FALSE,FALSE,Outstanding contributor; top performer.
20217,10217,2024-04-17,10800,3,,FALSE,Meets expectations; room for growth.
20218,10218,2024-03-04,10008,,TRUE,FALSE,Outstanding contributor; top performer.
,,2025-11-22,12182,4,TRUE,FALSE,Strong performance; exceeds expectations.
20220,10220,2024-07-11,11027,4,TRUE,FALSE,Strong performance; exceeds expectations.
20221,10221,2025-01-13,11292,4,TRUE,FALSE,Strong performance; exceeds expectations.
20222,10222,2024-08-04,11292,3,TRUE,FALSE,Meets expectations; room for growth.
20223,10223,2024-08-12,13148,4,TRUE,TRUE,Strong performance; exceeds expectations.
20224,10224,2024-10-27,13245,5,FALSE,FALSE,Outstanding contributor; top performer.
20225,10225,2024-05-27,,3,FALSE,FALSE,Meets expectations; room for growth.
20226,10226,,11382,4,TRUE,FALSE,Strong performance; exceeds expectations.
20227,10227,2024-04-24,13167,,TRUE,FALSE,Strong performance; exceeds expectations.
20228,10228,2024-10-02,,5,TRUE,FALSE,Outstanding contributor; top performer.
20229,10229,,11150,3,TRUE,FALSE,Meets expectations; room for growth.
20230,10230,2024-05-02,10046,4,TRUE,FALSE,Strong performance; exceeds expectations.
20231,10231,2025-03-03,10593,5,FALSE,FALSE,Outstanding contributor; top performer.
20232,10232,2025-03-29,,5,TRUE,FALSE,Outstanding contributor; top performer.
20233,10233,2025-07-12,11353,4,TRUE,TRUE,Strong performance; exceeds expectations.
20234,10234,,12099,5,TRUE,FALSE,Outstanding contributor; top performer.
20235,10235,2025-10-18,11072,4,TRUE,TRUE,Strong performance; exceeds expectations.
20236,,2025-07-14,11105,2,TRUE,FALSE,Needs improvement in key areas.
20237,10237,2025-09-18,12408,5,TRUE,TRUE,Outstanding contributor; top performer.
20238,10238,2024-01-01,13415,3,TRUE,FALSE,Meets expectations; room for growth.
20239,10239,2024-11-05,10611,2,TRUE,FALSE,Needs improvement in key areas.
,10240,2025-02-08,10383,2,,FALSE,Needs improvement in key areas.
20241,10241,2024-01-17,11596,,TRUE,FALSE,Strong performance; exceeds expectations.
20242,10242,2025-12-01,12415,4,FALSE,FALSE,Strong performance; exceeds expectations.
20243,10243,2024-08-02,13432,4,TRUE,FALSE,Strong performance; exceeds expectations.
20244,10244,2025-05-06,12551,4,TRUE,FALSE,Strong performance; exceeds expectations.
20245,10245,2024-08-02,12157,3,TRUE,FALSE,Meets expectations; room for growth.
20246,10246,2024-08-14,12321,,,FALSE,
20247,10247,2024-08-11,12824,3,FALSE,FALSE,Meets expectations; room for growth.
20248,10248,2025-01-19,10589,5,TRUE,FALSE,Outstanding contributor; top performer.
20249,10249,2025-09-30,10900,3,FALSE,FALSE,Meets expectations; room for growth.
20250,10250,2025-07-12,10269,5,TRUE,FALSE,
20251,10251,2024-12-05,13387,5,FALSE,FALSE,Outstanding contributor; top performer.
20252,10252,2024-07-28,11543,4,TRUE,FALSE,Strong performance; exceeds expectations.
20253,10253,2024-05-31,12157,4,TRUE,FALSE,Strong performance; exceeds expectations.
20254,10254,2025-02-21,11612,5,FALSE,FALSE,Outstanding contributor; top performer.
20255,10255,2024-05-23,13287,4,TRUE,FALSE,Strong performance; exceeds expectations.
20256,10256,2025-07-16,10319,2,TRUE,FALSE,Needs improvement in key areas.
20257,10257,2025-07-03,13021,5,TRUE,FALSE,Outstanding contributor; top performer.
20258,10258,2024-07-07,11547,5,TRUE,FALSE,Outstanding contributor; top performer.
20259,10259,2023-12-28,12133,4,TRUE,FALSE,Strong performance; exceeds expectations.
20260,10260,2025-08-11,10302,3,TRUE,,Meets expectations; room for growth.
20261,10261,2024-12-30,13042,4,TRUE,FALSE,Strong performance; exceeds expectations.
20262,10262,2025-10-04,11209,4,TRUE,,Strong performance; exceeds expectations.
20263,10263,2024-02-04,12782,4,,FALSE,Strong performance; exceeds expectations.
20264,10264,2025-03-18,10094,4,FALSE,FALSE,Strong performance; exceeds expectations.
20265,10265,2024-08-09,12385,3,TRUE,FALSE,Meets expectations; room for growth.
20266,10266,2024-09-10,11308,4,TRUE,FALSE,Strong performance; exceeds expectations.
20267,10267,2023-12-23,10542,3,FALSE,FALSE,Meets expectations; room for growth.
20268,10268,2024-07-22,10606,4,TRUE,FALSE,Strong performance; exceeds expectations.
20269,,2025-06-24,10463,3,TRUE,FALSE,Meets expectations; room for growth.
20270,10270,2024-03-27,11743,3,FALSE,FALSE,Meets expectations; room for growth.
20271,10271,2025-04-10,13001,3,TRUE,FALSE,Meets expectations; room for growth.
20272,10272,2024-09-21,13242,3,TRUE,FALSE,Meets expectations; room for growth.
20273,10273,2025-04-28,12140,3,FALSE,FALSE,Meets expectations; room for growth.
20274,10274,,12646,4,TRUE,FALSE,Strong performance; exceeds expectations.
20275,10275,2024-12-14,10099,4,TRUE,FALSE,Strong performance; exceeds expectations.
20276,10276,2024-01-05,13167,3,TRUE,FALSE,Meets expectations; room for growth.
20277,10277,2024-12-09,10785,4,TRUE,FALSE,Strong performance; exceeds expectations.
20278,10278,2024-03-22,11222,,TRUE,FALSE,Strong performance; exceeds expectations.
,10279,2025-11-26,13140,3,TRUE,FALSE,Meets expectations; room for growth.
20280,10280,2024-09-09,10482,4,FALSE,FALSE,Strong performance; exceeds expectations.
20281,10281,2024-05-21,,4,TRUE,FALSE,Strong performance; exceeds expectations.
20282,,2024-02-19,11589,5,TRUE,FALSE,Outstanding contributor; top performer.
20283,10283,2024-02-07,11925,2,TRUE,FALSE,Needs improvement in key areas.
20284,10284,2024-03-07,12782,3,TRUE,FALSE,Meets expectations; room for growth.
20285,10285,2024-02-26,11664,4,TRUE,FALSE,Strong performance; exceeds expectations.
20286,10286,2025-03-04,12976,4,,FALSE,Strong performance; exceeds expectations.
20287,10287,2024-12-14,11731,4,TRUE,FALSE,Strong performance; exceeds expectations.
20288,10288,2025-11-05,12509,3,TRUE,FALSE,Meets expectations; room for growth.
20289,10289,2025-08-01,,5,FALSE,FALSE,Outstanding contributor; top performer.
20290,10290,2023-12-31,11704,,TRUE,TRUE,Strong performance; exceeds expectations.
20291,10291,2025-07-12,12372,4,TRUE,FALSE,Strong performance; exceeds expectations.
20292,10292,2025-07-21,11269,3,FALSE,FALSE,Meets expectations; room for growth.
20293,10293,2024-04-11,10231,2,TRUE,FALSE,Needs improvement in key areas.
20294,10294,,13133,4,FALSE,TRUE,Strong performance; exceeds expectations.
20295,10295,2025-11-01,11292,4,TRUE,FALSE,Strong performance; exceeds expectations.
20296,10296,2025-08-05,12495,4,FALSE,,Strong performance; exceeds expectations.
20297,10297,2024-08-08,10858,2,FALSE,FALSE,Needs improvement in key areas.
20298,10298,2024-08-13,10204,3,FALSE,FALSE,Meets expectations; room for growth.
20299,10299,2024-03-14,11267,5,FALSE,FALSE,Outstanding contributor; top performer.
20300,10300,2025-05-20,13001,5,TRUE,FALSE,Outstanding contributor; top performer.
20301,10301,2025-10-04,10269,3,FALSE,FALSE,Meets expectations; room for growth.
20302,10302,2024-02-27,10394,4,FALSE,FALSE,Strong performance; exceeds expectations.
20303,10303,2025-10-24,13145,4,TRUE,FALSE,Strong performance; exceeds expectations.
20304,10304,2024-09-24,12125,3,TRUE,,Meets expectations; room for growth.
20305,10305,2024-12-11,11248,4,TRUE,FALSE,Strong performance; exceeds expectations.
20306,10306,2024-12-19,13133,,TRUE,FALSE,Outstanding contributor; top performer.
20307,10307,2025-07-26,11267,5,FALSE,FALSE,Outstanding contributor; top performer.
20308,10308,2023-12-26,,5,,FALSE,Outstanding contributor; top performer.
20309,10309,2025-02-24,10404,4,FALSE,FALSE,Strong performance; exceeds expectations.
20310,10310,2024-03-19,11105,5,FALSE,FALSE,Outstanding contributor; top performer.
20311,10311,2025-01-15,12976,4,TRUE,,Strong performance; exceeds expectations.
20312,10312,2024-11-10,11510,4,TRUE,FALSE,Strong performance; exceeds expectations.
,10313,2025-03-17,10172,5,TRUE,FALSE,Outstanding contributor; top performer.
20314,10314,2025-06-16,12247,3,FALSE,FALSE,
20315,10315,2025-11-15,11942,3,TRUE,FALSE,Meets expectations; room for growth.
20316,10316,2025-11-19,13148,5,FALSE,TRUE,Outstanding contributor; top performer.
20317,10317,2024-09-04,11952,4,TRUE,FALSE,Strong performance; exceeds expectations.
20318,10318,2025-08-25,10798,3,TRUE,FALSE,Meets expectations; room for growth.
20319,10319,2024-07-01,10292,4,FALSE,FALSE,Strong performance; exceeds expectations.
20320,10320,2025-01-04,11837,3,FALSE,FALSE,Meets expectations; room for growth.
20321,10321,2024-01-01,10206,5,TRUE,FALSE,Outstanding contributor; top performer.
20322,10322,2025-06-17,11267,4,,TRUE,Strong performance; exceeds expectations.
20323,10323,2025-04-06,12565,5,TRUE,TRUE,Outstanding contributor; top performer.
20324,10324,2025-08-03,11991,3,TRUE,FALSE,Meets expectations; room for growth.
20325,10325,2024-08-17,12543,3,TRUE,FALSE,Meets expectations; room for growth.
20326,10326,2024-09-11,13229,3,TRUE,FALSE,Meets expectations; room for growth.
20327,10327,2025-10-12,10172,4,TRUE,FALSE,Strong performance; exceeds expectations.
20328,10328,2025-07-30,12385,4,TRUE,FALSE,Strong performance; exceeds expectations.
20329,10329,2025-03-03,12441,4,TRUE,FALSE,Strong performance; exceeds expectations.
20330,10330,2024-03-02,13229,4,FALSE,FALSE,Strong performance; exceeds expectations.
20331,10331,2024-04-20,11104,4,TRUE,TRUE,Strong performance; exceeds expectations.
20332,10332,2024-04-09,10100,3,,FALSE,
20333,10333,2025-04-16,12137,3,TRUE,FALSE,Meets expectations; room for growth.
20334,10334,2023-12-17,12338,3,TRUE,FALSE,Meets expectations; room for growth.
20335,10335,2024-06-12,11514,3,TRUE,FALSE,Meets expectations; room for growth.
20336,10336,2024-07-28,10014,1,TRUE,FALSE,Needs improvement in key areas.
20337,10337,2024-08-18,12133,4,TRUE,FALSE,Strong performance; exceeds expectations.
20338,10338,2024-06-29,11121,3,FALSE,FALSE,Meets expectations; room for growth.
20339,10339,2024-05-17,12112,3,TRUE,FALSE,Meets expectations; room for growth.
20340,10340,2025-10-08,11520,3,TRUE,FALSE,Meets expectations; room for growth.
20341,10341,2025-02-24,13219,4,TRUE,FALSE,
20342,10342,2025-11-16,12291,4,TRUE,FALSE,Strong performance; exceeds expectations.
20343,10343,2025-03-27,12001,4,TRUE,FALSE,Strong performance; exceeds expectations.
20344,10344,2025-01-31,11072,5,FALSE,FALSE,Outstanding contributor; top performer.
